,City,Country,Max Temp,Humidity,Wind Speed,Cloudiness,Longitude,Latitude
429,Hobart,AU,60.8,67,18.34,75,147.33,-42.88
430,Vaini,IN,70.47,56,4.27,0,74.49,15.34
431,Bluff,AU,90.64,58,4.61,0,149.07,-23.58
432,Mar del Plata,AR,71.87,41,23.62,0,-67.52,-46.43
433,Ribeira Grande,PT,61.97,98,20.04,64,-28.7,38.52
434,Srednekolymsk,RU,-7.33,61,3.71,88,153.71,67.46
435,College,US,19.4,92,3.36,90,-147.8,64.86
436,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
437,Jamestown,AU,79.47,70,7.07,68,138.6,-33.21
438,Avera,US,71.6,93,3.36,1,-82.53,33.19
439,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
440,Hobart,AU,60.8,67,18.34,75,147.33,-42.88
441,New Norfolk,AU,60.8,67,18.34,75,147.06,-42.78
442,Rikitea,PF,79.56,100,12.66,88,-134.97,-23.12
443,Plettenberg Bay,ZA,66.6,94,4.94,0,23.37,-34.05
444,Tessalit,ML,63.41,37,1.48,8,1.01,20.2
445,Anadyr,RU,32.0,94,29.08,90,177.51,64.73
446,Dikson,RU,-15.43,93,11.99,0,80.55,73.51
447,Husavik,CA,1.54,69,3.27,24,-96.99,50.56
448,Tuktoyaktuk,CA,-2.21,76,19.46,20,-133.03,69.44
449,East London,ZA,73.94,95,22.5,20,27.91,-33.02
450,Yumen,CN,13.5,78,5.61,24,97.04,40.29
451,Yellowknife,CA,-11.21,63,16.11,90,-114.38,62.45
452,New Norfolk,AU,60.8,67,18.34,75,147.06,-42.78
453,Garmisch-Partenkirchen,AT,33.8,97,1.12,75,11.1,47.49
454,Victor Harbor,AU,77.0,41,9.17,0,138.62,-35.55
455,Port Elizabeth,US,33.8,100,4.5,90,-74.98,39.31
456,Salalah,OM,69.8,77,1.81,40,54.1,17.01
457,Suntar,RU,-9.32,67,4.05,48,117.65,62.16
458,Vila Franca do Campo,PT,55.4,76,5.82,40,-25.43,37.72
